work_order_id,ticket_number,building_id,contract_id,technician_id,customer_id,request_date,scheduled_date,started_at,completed_at,category,sub_category,priority,urgency_level,status,issue_description,resolution_notes,location_floor,location_room,location_zone,trade_type,work_type,labor_hours,labor_cost,materials_cost,total_cost,parts_used_count,travel_time_minutes,response_time_minutes,resolution_time_hours,first_time_fix,repeat_visit,customer_rating,customer_feedback,technician_notes,equipment_id,equipment_type,failure_type,downtime_minutes,business_impact,sla_met,sla_response_target_minutes,sla_resolution_target_hours,escalated,escalation_level,assigned_by,approved_by,invoice_number,invoice_status,payment_status,weather_condition,after_hours,weekend_work,emergency_call,preventive_maintenance,warranty_work,billable,discount_applied,discount_percent,created_by,updated_at,source_channel,parent_work_order_id,child_work_orders_count,attachments_count,compliance_required,safety_incident
11,WO-2024-0011,102,5002,204,3002,2024-01-09 09:15:00,2024-01-09 11:00:00,2024-01-09 11:10:00,2024-01-09 13:25:00,Carpentry,Door Repair,Low,Standard,Completed,Office door not closing properly,Adjusted door hinges and replaced strike plate,1,Office 1C,Zone A,Carpentry,Corrective,2.25,225.00,45.00,270.00,3,12,115,2.25,TRUE,FALSE,4,Good job,Door alignment was off,CARP-102-005,Interior Door,Alignment Issue,135,Low,TRUE,240,24,FALSE,0,TENANT_REQUEST,MGR-002,INV-2024-0011,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-09 14:00:00,Walk-in,,,0,FALSE,FALSE
12,WO-2024-0012,101,5001,205,3001,2024-01-09 15:45:00,2024-01-10 09:00:00,2024-01-10 09:20:00,2024-01-10 11:00:00,Fire Safety,Alarm System,High,Urgent,Completed,Fire alarm panel showing fault,Reset alarm panel and replaced faulty sensor,1,Main Corridor,Zone A,Fire Safety,Corrective,1.67,334.00,220.00,554.00,2,18,1055,1.67,TRUE,FALSE,5,Fast response,One sensor corroded,FIRE-101-PANEL,Fire Alarm Panel,Sensor Failure,100,High,FALSE,60,8,TRUE,1,ALARM,MGR-001,INV-2024-0012,Sent,Paid,Clear,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,ALARM,2024-01-10 11:30:00,Alarm System,,,1,TRUE,FALSE
13,WO-2024-0013,106,5006,201,3006,2024-01-10 08:30:00,2024-01-10 10:00:00,2024-01-10 10:05:00,2024-01-10 12:30:00,Plumbing,Water Heater,Medium,Standard,Completed,No hot water in building,Repaired water heater heating element,B1,Mechanical Room,Zone D,Plumbing,Corrective,2.42,242.00,180.00,422.00,2,22,95,2.42,TRUE,FALSE,3,Acceptable,Element was burned out,PLB-106-WH01,Water Heater,Component Failure,145,Medium,TRUE,180,12,FALSE,0,TENANT_REQUEST,MGR-006,INV-2024-0013,Sent,Paid,Snowy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-10 13:00:00,Phone,,,0,FALSE,FALSE
14,WO-2024-0014,105,5005,202,3005,2024-01-11 11:00:00,2024-01-11 13:00:00,2024-01-11 13:15:00,2024-01-11 14:00:00,Painting,Touch Up,Low,Standard,Completed,Scuffed walls in hallway need touch up,Painted and touched up damaged areas,2,Hallway 2A,Zone B,Painting,Corrective,0.75,75.00,25.00,100.00,0,10,135,0.75,TRUE,FALSE,4,Looks good,Color matched well,PAINT-105-HALL2,Hallway Walls,Cosmetic,45,None,TRUE,480,48,FALSE,0,INSPECTION,MGR-005,INV-2024-0014,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,INSPECTION,2024-01-11 14:30:00,Inspection,,,0,FALSE,FALSE
15,WO-2024-0015,103,5003,203,3003,2024-01-11 14:30:00,2024-01-11 16:00:00,2024-01-11 16:10:00,2024-01-11 17:45:00,HVAC,Air Filter,Medium,Standard,Completed,HVAC system airflow reduced,Replaced all air filters throughout building,ALL,Air Handlers,Zone D,HVAC,Preventive,1.58,158.00,240.00,398.00,24,28,100,1.58,TRUE,FALSE,5,Thorough,Filters were very dirty,HVAC-103-AHU,Air Handling Units,Maintenance,95,Low,TRUE,240,24,FALSE,0,SCHEDULE,MGR-003,INV-2024-0015,Sent,Paid,Clear,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,5,SCHEDULE,2024-01-11 18:00:00,Scheduled,,,0,FALSE,FALSE
16,WO-2024-0016,104,5004,206,3004,2024-01-12 08:00:00,2024-01-12 09:00:00,2024-01-12 09:15:00,2024-01-12 11:30:00,Roofing,Leak Repair,High,Urgent,Completed,Water leak from roof into office,Sealed roof penetration and replaced damaged flashing,ROOF,Roof Section B,Zone B,Roofing,Corrective,2.25,450.00,320.00,770.00,8,35,75,2.25,TRUE,FALSE,4,Fixed the issue,Weather damage to flashing,ROOF-104-SECB,Flat Roof,Weather Damage,135,High,TRUE,90,8,FALSE,0,EMERGENCY,MGR-004,INV-2024-0016,Sent,Paid,Rainy,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-12 12:00:00,Emergency,,,2,TRUE,FALSE
17,WO-2024-0017,102,5002,204,3002,2024-01-12 13:00:00,2024-01-12 14:00:00,2024-01-12 14:05:00,2024-01-12 14:45:00,Locksmith,Lock Replacement,Medium,Standard,Completed,Lock jammed on storage room door,Replaced door lock and provided new keys,B1,Storage Room B1-3,Zone A,Locksmith,Corrective,0.67,134.00,110.00,244.00,1,8,65,0.67,TRUE,FALSE,5,Quick fix,Lock was worn out,LOCK-102-SR3,Storage Door Lock,Mechanical Failure,40,Low,TRUE,180,12,FALSE,0,FACILITY,MGR-002,INV-2024-0017,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FACILITY,2024-01-12 15:00:00,Internal,,,0,FALSE,FALSE
18,WO-2024-0018,101,5001,205,3001,2024-01-15 10:30:00,2024-01-15 13:00:00,2024-01-15 13:10:00,2024-01-15 15:20:00,Electrical,Emergency Lighting,High,Urgent,Completed,Emergency lights not functioning,Replaced backup battery and tested all units,ALL,Emergency Exits,All Zones,Electrical,Corrective,2.17,217.00,380.00,597.00,6,15,160,2.17,TRUE,FALSE,4,Professional work,Battery end of life,ELEC-101-EMERG,Emergency Lighting,Battery Failure,130,High,TRUE,60,8,FALSE,0,INSPECTION,MGR-001,INV-2024-0018,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,INSPECTION,2024-01-15 16:00:00,Inspection,,,4,TRUE,FALSE
19,WO-2024-0019,107,5007,201,3007,2024-01-15 14:00:00,2024-01-15 15:00:00,2024-01-15 15:15:00,2024-01-15 16:30:00,Janitorial,Deep Cleaning,Low,Standard,Completed,Scheduled deep cleaning of office suite,Completed deep cleaning including carpet shampooing,4,Office Suite 4A,Zone C,Janitorial,Preventive,1.25,125.00,45.00,170.00,0,12,75,1.25,TRUE,FALSE,5,Very clean,Used eco-friendly products,CLEAN-107-OFF4A,Office Suite,None,0,None,TRUE,480,48,FALSE,0,SCHEDULE,MGR-007,INV-2024-0019,Sent,Paid,Clear,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10,TENANT,2024-01-15 17:00:00,Scheduled,,,0,FALSE,FALSE
20,WO-2024-0020,106,5006,202,3006,2024-01-16 09:00:00,2024-01-16 11:00:00,2024-01-16 11:20:00,2024-01-16 13:00:00,HVAC,Ductwork,Medium,Standard,Completed,Unusual noise from HVAC ductwork,Secured loose ductwork and replaced damaged section,3,Ceiling Space,Zone C,HVAC,Corrective,1.67,167.00,85.00,252.00,4,18,140,1.67,TRUE,FALSE,4,Good service,Duct section was vibrating,HVAC-106-DUCT3,Ductwork System,Installation Issue,100,Low,TRUE,240,24,FALSE,0,TENANT_REQUEST,MGR-006,INV-2024-0020,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-16 13:30:00,Phone,,,0,FALSE,FALSE

