id,continent,country_name,country_code_2_digit,state_province_name,us_state_code,postal_code,latitude,longitude,sales_volume_usd,customer_count,avg_transaction_value_usd,custom_geo_area,geo_json_reference_key
39,North America,United States,US,Texas,TX,73302,30.2700,-97.7400,95000,440,215.91,South,ref-us-tx-AUS
40,North America,United States,US,Florida,FL,33140,25.7700,-80.1900,130000,620,209.68,South,ref-us-fl-MIA
41,Europe,United Kingdom,GB,England,ENG,SW1A 0AB,51.5010,-0.1250,90000,420,214.29,Western Europe,ref-uk-eng-LON
42,Europe,Norway,NO,Oslo,,0151,59.9140,10.7530,45000,215,209.30,Nordics,ref-no-osl
43,Asia,India,IN,Maharashtra,,400002,19.0770,72.8780,200000,940,212.77,South Asia,ref-in-mh-MUM
44,Africa,South Africa,ZA,Western Cape,,8002,-33.9250,18.4250,60000,280,214.29,Sub-Saharan Africa,ref-za-wc-CPT
45,North America,Mexico,MX,Mexico City,,06001,19.4330,-99.1340,160000,750,213.33,LATAM,ref-mx-mxc
46,North America,United States,US,Arizona,AZ,85001,33.4500,-112.0700,110000,510,215.69,West Coast,ref-us-az
47,North America,United States,US,Georgia,GA,30301,33.7500,-84.3900,140000,660,212.12,South,ref-us-ga
48,Europe,Italy,IT,Lazio,,00100,41.9000,12.5000,75000,355,211.27,Southern Europe,ref-it-laz
49,Asia,China,CN,Beijing,,100000,39.9000,116.3900,250000,1190,210.08,East Asia,ref-cn-bjn
50,South America,Argentina,AR,Buenos Aires,,1000,-34.6000,-58.3800,90000,425,211.76,South America,ref-ar-bue
51,North America,United States,US,California,CA,90211,34.0781,-118.2754,153345,720,212.98,West Coast,ref-us-ca-LA
52,North America,United States,US,New York,NY,10003,40.7101,-74.0438,247901,1190,208.32,North East,ref-us-ny-NYC
53,Europe,Germany,DE,Bavaria,,80333,48.1622,11.6077,108500,515,210.68,Western Europe,ref-de-by-MUN
54,Asia,Japan,JP,Tokyo,,100-0003,35.7005,139.7099,302200,1405,215.09,East Asia,ref-jp-tko
55,North America,Canada,CA,Ontario,ON,M5V 2F1,43.6501,-79.3655,122750,585,209.83,North America,ref-ca-on-TOR
56,South America,Brazil,BR,São Paulo,,01310-102,-23.5198,-46.6601,177400,845,209.94,South America,ref-br-sp-SAO
57,Europe,France,FR,Île-de-France,,75003,48.8455,2.3889,78900,375,210.40,Western Europe,ref-fr-idf-PAR
58,Oceania,Australia,AU,New South Wales,NSW,2002,-33.8399,151.1995,77500,370,209.46,ANZ,ref-au-nsw-SYD
59,North America,United States,US,Texas,TX,73303,30.3085,-97.7222,97100,455,213.41,South,ref-us-tx-AUS
60,North America,United States,US,Florida,FL,33141,25.8001,-80.2315,132500,630,210.32,South,ref-us-fl-MIA
61,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5305,-0.1111,92000,435,211.49,Western Europe,ref-uk-eng-LON
62,Europe,Norway,NO,Oslo,,0152,59.9211,10.7995,43500,205,212.20,Nordics,ref-no-osl
63,Asia,India,IN,Maharashtra,,400003,19.1101,72.9205,203100,955,212.67,South Asia,ref-in-mh-MUM
64,Africa,South Africa,ZA,Western Cape,,8003,-33.9115,18.4609,62300,295,211.19,Sub-Saharan Africa,ref-za-wc-CPT
65,North America,Mexico,MX,Mexico City,,06002,19.4601,-99.1111,162000,765,211.76,LATAM,ref-mx-mxc
66,North America,United States,US,Arizona,AZ,85002,33.4600,-112.0800,111000,515,215.53,West Coast,ref-us-az
67,North America,United States,US,Georgia,GA,30302,33.7600,-84.4000,141000,665,211.97,South,ref-us-ga
68,Europe,Italy,IT,Lazio,,00101,41.9100,12.5100,76000,360,211.11,Southern Europe,ref-it-laz
69,Asia,China,CN,Beijing,,100001,39.9100,116.4000,251000,1195,210.04,East Asia,ref-cn-bjn
70,South America,Argentina,AR,Buenos Aires,,1001,-34.6100,-58.3900,91000,430,211.63,South America,ref-ar-bue
71,North America,United States,US,California,CA,90212,34.0981,-118.2954,154345,725,212.89,West Coast,ref-us-ca-LA
72,North America,United States,US,New York,NY,10004,40.7201,-74.0538,246901,1180,209.24,North East,ref-us-ny-NYC
73,Europe,Germany,DE,Bavaria,,80334,48.1722,11.6177,107500,510,210.78,Western Europe,ref-de-by-MUN
74,Asia,Japan,JP,Tokyo,,100-0004,35.7205,139.7199,303200,1410,215.04,East Asia,ref-jp-tko
75,North America,Canada,CA,Ontario,ON,M5V 2F2,43.6601,-79.3855,123750,590,209.75,North America,ref-ca-on-TOR
76,South America,Brazil,BR,São Paulo,,01310-103,-23.5298,-46.6701,176400,840,209.98,South America,ref-br-sp-SAO
77,Europe,France,FR,Île-de-France,,75004,48.8555,2.3989,77900,370,210.54,Western Europe,ref-fr-idf-PAR
78,Oceania,Australia,AU,New South Wales,NSW,2003,-33.8499,151.2095,78500,375,209.33,ANZ,ref-au-nsw-SYD
79,North America,United States,US,Texas,TX,73304,30.3185,-97.7322,98100,460,213.26,South,ref-us-tx-AUS
80,North America,United States,US,Florida,FL,33142,25.8101,-80.2415,133500,635,210.24,South,ref-us-fl-MIA
81,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5405,-0.1211,93000,440,211.36,Western Europe,ref-uk-eng-LON
82,Europe,Norway,NO,Oslo,,0153,59.9311,10.8095,42500,200,212.50,Nordics,ref-no-osl
83,Asia,India,IN,Maharashtra,,400004,19.1201,72.9305,204100,960,212.60,South Asia,ref-in-mh-MUM
84,Africa,South Africa,ZA,Western Cape,,8004,-33.9215,18.4709,63300,300,211.00,Sub-Saharan Africa,ref-za-wc-CPT
85,North America,Mexico,MX,Mexico City,,06003,19.4701,-99.1211,163000,770,211.69,LATAM,ref-mx-mxc
86,North America,United States,US,Arizona,AZ,85003,33.4700,-112.0900,112000,520,215.38,West Coast,ref-us-az
87,North America,United States,US,Georgia,GA,30303,33.7700,-84.4100,142000,670,211.94,South,ref-us-ga
88,Europe,Italy,IT,Lazio,,00102,41.9200,12.5200,77000,365,210.96,Southern Europe,ref-it-laz
89,Asia,China,CN,Beijing,,100002,39.9200,116.4100,252000,1200,210.00,East Asia,ref-cn-bjn
90,South America,Argentina,AR,Buenos Aires,,1002,-34.6200,-58.4000,92000,435,211.49,South America,ref-ar-bue
91,North America,United States,US,California,CA,90213,34.0681,-118.2654,155345,735,212.39,West Coast,ref-us-ca-LA
92,North America,United States,US,New York,NY,10005,40.7301,-74.0638,245901,1175,209.28,North East,ref-us-ny-NYC
93,Europe,Germany,DE,Bavaria,,80335,48.1822,11.6277,106500,505,210.89,Western Europe,ref-de-by-MUN
94,Asia,Japan,JP,Tokyo,,100-0005,35.7305,139.7299,304200,1415,215.00,East Asia,ref-jp-tko
95,North America,Canada,CA,Ontario,ON,M5V 2F3,43.6701,-79.3955,124750,595,209.66,North America,ref-ca-on-TOR
96,South America,Brazil,BR,São Paulo,,01310-104,-23.5398,-46.6801,175400,835,210.06,South America,ref-br-sp-SAO
97,Europe,France,FR,Île-de-France,,75005,48.8655,2.4089,76900,365,210.68,Western Europe,ref-fr-idf-PAR
98,Oceania,Australia,AU,New South Wales,NSW,2004,-33.8599,151.2195,79500,380,209.21,ANZ,ref-au-nsw-SYD
99,North America,United States,US,Texas,TX,73305,30.3285,-97.7422,99100,465,213.12,South,ref-us-tx-AUS
100,North America,United States,US,Florida,FL,33143,25.8201,-80.2515,134500,640,210.16,South,ref-us-fl-MIA
101,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5505,-0.1311,94000,445,211.24,Western Europe,ref-uk-eng-LON
102,Europe,Norway,NO,Oslo,,0154,59.9411,10.8195,41500,195,212.82,Nordics,ref-no-osl
103,Asia,India,IN,Maharashtra,,400005,19.1301,72.9405,205100,965,212.54,South Asia,ref-in-mh-MUM
104,Africa,South Africa,ZA,Western Cape,,8005,-33.9315,18.4809,64300,305,210.82,Sub-Saharan Africa,ref-za-wc-CPT
105,North America,Mexico,MX,Mexico City,,06004,19.4801,-99.1311,164000,775,211.61,LATAM,ref-mx-mxc
106,North America,United States,US,Arizona,AZ,85004,33.4800,-112.1000,113000,525,215.24,West Coast,ref-us-az
107,North America,United States,US,Georgia,GA,30304,33.7800,-84.4200,143000,675,211.85,South,ref-us-ga
108,Europe,Italy,IT,Lazio,,00103,41.9300,12.5300,78000,370,210.81,Southern Europe,ref-it-laz
109,Asia,China,CN,Beijing,,100003,39.9300,116.4200,253000,1205,210.00,East Asia,ref-cn-bjn
110,South America,Argentina,AR,Buenos Aires,,1003,-34.6300,-58.4100,93000,440,211.36,South America,ref-ar-bue
111,North America,United States,US,California,CA,90214,34.0881,-118.2854,156345,740,211.28,West Coast,ref-us-ca-LA
112,North America,United States,US,New York,NY,10006,40.7401,-74.0738,244901,1170,209.32,North East,ref-us-ny-NYC
113,Europe,Germany,DE,Bavaria,,80336,48.1922,11.6377,105500,500,211.00,Western Europe,ref-de-by-MUN
114,Asia,Japan,JP,Tokyo,,100-0006,35.7405,139.7399,305200,1420,214.93,East Asia,ref-jp-tko
115,North America,Canada,CA,Ontario,ON,M5V 2F4,43.6801,-79.4055,125750,600,209.58,North America,ref-ca-on-TOR
116,South America,Brazil,BR,São Paulo,,01310-105,-23.5498,-46.6901,174400,830,210.12,South America,ref-br-sp-SAO
117,Europe,France,FR,Île-de-France,,75006,48.8755,2.4189,75900,360,210.83,Western Europe,ref-fr-idf-PAR
118,Oceania,Australia,AU,New South Wales,NSW,2005,-33.8699,151.2295,80500,385,209.09,ANZ,ref-au-nsw-SYD
119,North America,United States,US,Texas,TX,73306,30.3385,-97.7522,100100,470,213.00,South,ref-us-tx-AUS
120,North America,United States,US,Florida,FL,33144,25.8301,-80.2615,135500,645,210.08,South,ref-us-fl-MIA
121,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5605,-0.1411,95000,450,211.11,Western Europe,ref-uk-eng-LON
122,Europe,Norway,NO,Oslo,,0155,59.9511,10.8295,40500,190,213.16,Nordics,ref-no-osl
123,Asia,India,IN,Maharashtra,,400006,19.1401,72.9505,206100,970,212.47,South Asia,ref-in-mh-MUM
124,Africa,South Africa,ZA,Western Cape,,8006,-33.9415,18.4909,65300,310,210.65,Sub-Saharan Africa,ref-za-wc-CPT
125,North America,Mexico,MX,Mexico City,,06005,19.4901,-99.1411,165000,780,211.54,LATAM,ref-mx-mxc
126,North America,United States,US,Arizona,AZ,85005,33.4900,-112.1100,114000,530,215.09,West Coast,ref-us-az
127,North America,United States,US,Georgia,GA,30305,33.7900,-84.4300,144000,680,211.76,South,ref-us-ga
128,Europe,Italy,IT,Lazio,,00104,41.9400,12.5400,79000,375,210.67,Southern Europe,ref-it-laz
129,Asia,China,CN,Beijing,,100004,39.9400,116.4300,254000,1210,210.08,East Asia,ref-cn-bjn
130,South America,Argentina,AR,Buenos Aires,,1004,-34.6400,-58.4200,94000,445,211.24,South America,ref-ar-bue
131,North America,United States,US,California,CA,90215,34.0981,-118.2954,157345,745,211.20,West Coast,ref-us-ca-LA
132,North America,United States,US,New York,NY,10007,40.7501,-74.0838,243901,1165,209.36,North East,ref-us-ny-NYC
133,Europe,Germany,DE,Bavaria,,80337,48.2022,11.6477,104500,495,211.11,Western Europe,ref-de-by-MUN
134,Asia,Japan,JP,Tokyo,,100-0007,35.7505,139.7499,306200,1425,214.88,East Asia,ref-jp-tko
135,North America,Canada,CA,Ontario,ON,M5V 2F5,43.6901,-79.4155,126750,605,209.50,North America,ref-ca-on-TOR
136,South America,Brazil,BR,São Paulo,,01310-106,-23.5598,-46.7001,173400,825,210.18,South America,ref-br-sp-SAO
137,Europe,France,FR,Île-de-France,,75007,48.8855,2.4289,74900,355,210.99,Western Europe,ref-fr-idf-PAR
138,Oceania,Australia,AU,New South Wales,NSW,2006,-33.8799,151.2395,81500,390,208.97,ANZ,ref-au-nsw-SYD
139,North America,United States,US,Texas,TX,73307,30.3485,-97.7622,101100,475,212.84,South,ref-us-tx-AUS
140,North America,United States,US,Florida,FL,33145,25.8401,-80.2715,136500,650,210.00,South,ref-us-fl-MIA
141,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5705,-0.1511,96000,455,210.99,Western Europe,ref-uk-eng-LON
142,Europe,Norway,NO,Oslo,,0156,59.9611,10.8395,39500,185,213.51,Nordics,ref-no-osl
143,Asia,India,IN,Maharashtra,,400007,19.1501,72.9605,207100,975,212.41,South Asia,ref-in-mh-MUM
144,Africa,South Africa,ZA,Western Cape,,8007,-33.9515,18.5009,66300,315,210.48,Sub-Saharan Africa,ref-za-wc-CPT
145,North America,Mexico,MX,Mexico City,,06006,19.5001,-99.1511,166000,785,211.46,LATAM,ref-mx-mxc
146,North America,United States,US,Arizona,AZ,85006,33.5000,-112.1200,115000,535,214.95,West Coast,ref-us-az
147,North America,United States,US,Georgia,GA,30306,33.8000,-84.4400,145000,685,211.68,South,ref-us-ga
148,Europe,Italy,IT,Lazio,,00105,41.9500,12.5500,80000,380,210.53,Southern Europe,ref-it-laz
149,Asia,China,CN,Beijing,,100005,39.9500,116.4400,255000,1215,209.88,East Asia,ref-cn-bjn
150,South America,Argentina,AR,Buenos Aires,,1005,-34.6500,-58.4300,95000,450,211.11,South America,ref-ar-bue
151,North America,United States,US,California,CA,90216,34.0581,-118.2554,158345,750,211.13,West Coast,ref-us-ca-LA
152,North America,United States,US,New York,NY,10008,40.7601,-74.0938,242901,1160,209.40,North East,ref-us-ny-NYC
153,Europe,Germany,DE,Bavaria,,80338,48.2122,11.6577,103500,490,211.22,Western Europe,ref-de-by-MUN
154,Asia,Japan,JP,Tokyo,,100-0008,35.7605,139.7599,307200,1430,214.83,East Asia,ref-jp-tko
155,North America,Canada,CA,Ontario,ON,M5V 2F6,43.7001,-79.4255,127750,610,209.43,North America,ref-ca-on-TOR
156,South America,Brazil,BR,São Paulo,,01310-107,-23.5698,-46.7101,172400,820,210.24,South America,ref-br-sp-SAO
157,Europe,France,FR,Île-de-France,,75008,48.8955,2.4389,73900,350,211.14,Western Europe,ref-fr-idf-PAR
158,Oceania,Australia,AU,New South Wales,NSW,2007,-33.8899,151.2495,82500,395,208.86,ANZ,ref-au-nsw-SYD
159,North America,United States,US,Texas,TX,73308,30.3585,-97.7722,102100,480,212.71,South,ref-us-tx-AUS
160,North America,United States,US,Florida,FL,33146,25.8501,-80.2815,137500,655,209.92,South,ref-us-fl-MIA
161,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5805,-0.1611,97000,460,210.87,Western Europe,ref-uk-eng-LON
162,Europe,Norway,NO,Oslo,,0157,59.9711,10.8495,38500,180,213.89,Nordics,ref-no-osl
163,Asia,India,IN,Maharashtra,,400008,19.1601,72.9705,208100,980,212.35,South Asia,ref-in-mh-MUM
164,Africa,South Africa,ZA,Western Cape,,8008,-33.9615,18.5109,67300,320,210.31,Sub-Saharan Africa,ref-za-wc-CPT
165,North America,Mexico,MX,Mexico City,,06007,19.5101,-99.1611,167000,790,211.39,LATAM,ref-mx-mxc
166,North America,United States,US,Arizona,AZ,85007,33.5100,-112.1300,116000,540,214.81,West Coast,ref-us-az
167,North America,United States,US,Georgia,GA,30307,33.8100,-84.4500,146000,690,211.59,South,ref-us-ga
168,Europe,Italy,IT,Lazio,,00106,41.9600,12.5600,81000,385,210.39,Southern Europe,ref-it-laz
169,Asia,China,CN,Beijing,,100006,39.9600,116.4500,256000,1220,209.84,East Asia,ref-cn-bjn
170,South America,Argentina,AR,Buenos Aires,,1006,-34.6600,-58.4400,96000,455,210.99,South America,ref-ar-bue
171,North America,United States,US,California,CA,90217,34.0481,-118.2454,159345,755,211.05,West Coast,ref-us-ca-LA
172,North America,United States,US,New York,NY,10009,40.7701,-74.1038,241901,1155,209.44,North East,ref-us-ny-NYC
173,Europe,Germany,DE,Bavaria,,80339,48.2222,11.6677,102500,485,211.34,Western Europe,ref-de-by-MUN
174,Asia,Japan,JP,Tokyo,,100-0009,35.7705,139.7699,308200,1435,214.77,East Asia,ref-jp-tko
175,North America,Canada,CA,Ontario,ON,M5V 2F7,43.7101,-79.4355,128750,615,209.35,North America,ref-ca-on-TOR
176,South America,Brazil,BR,São Paulo,,01310-108,-23.5798,-46.7201,171400,815,210.31,South America,ref-br-sp-SAO
177,Europe,France,FR,Île-de-France,,75009,48.9055,2.4489,72900,345,211.30,Western Europe,ref-fr-idf-PAR
178,Oceania,Australia,AU,New South Wales,NSW,2008,-33.8999,151.2595,83500,400,208.75,ANZ,ref-au-nsw-SYD
179,North America,United States,US,Texas,TX,73309,30.3685,-97.7822,103100,485,212.58,South,ref-us-tx-AUS
180,North America,United States,US,Florida,FL,33147,25.8601,-80.2915,138500,660,209.85,South,ref-us-fl-MIA
181,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.5905,-0.1711,98000,465,210.75,Western Europe,ref-uk-eng-LON
182,Europe,Norway,NO,Oslo,,0158,59.9811,10.8595,37500,175,214.29,Nordics,ref-no-osl
183,Asia,India,IN,Maharashtra,,400009,19.1701,72.9805,209100,985,212.28,South Asia,ref-in-mh-MUM
184,Africa,South Africa,ZA,Western Cape,,8009,-33.9715,18.5209,68300,325,210.15,Sub-Saharan Africa,ref-za-wc-CPT
185,North America,Mexico,MX,Mexico City,,06008,19.5201,-99.1711,168000,795,211.32,LATAM,ref-mx-mxc
186,North America,United States,US,Arizona,AZ,85008,33.5200,-112.1400,117000,545,214.68,West Coast,ref-us-az
187,North America,United States,US,Georgia,GA,30308,33.8200,-84.4600,147000,695,211.51,South,ref-us-ga
188,Europe,Italy,IT,Lazio,,00107,41.9700,12.5700,82000,390,210.26,Southern Europe,ref-it-laz
189,Asia,China,CN,Beijing,,100007,39.9700,116.4600,257000,1225,209.80,East Asia,ref-cn-bjn
190,South America,Argentina,AR,Buenos Aires,,1007,-34.6700,-58.4500,97000,460,210.87,South America,ref-ar-bue
191,North America,United States,US,California,CA,90218,34.0381,-118.2354,160345,760,210.98,West Coast,ref-us-ca-LA
192,North America,United States,US,New York,NY,10010,40.7801,-74.1138,240901,1150,209.48,North East,ref-us-ny-NYC
193,Europe,Germany,DE,Bavaria,,80340,48.2322,11.6777,101500,480,211.46,Western Europe,ref-de-by-MUN
194,Asia,Japan,JP,Tokyo,,100-0010,35.7805,139.7799,309200,1440,214.72,East Asia,ref-jp-tko
195,North America,Canada,CA,Ontario,ON,M5V 2F8,43.7201,-79.4455,129750,620,209.27,North America,ref-ca-on-TOR
196,South America,Brazil,BR,São Paulo,,01310-109,-23.5898,-46.7301,170400,810,210.37,South America,ref-br-sp-SAO
197,Europe,France,FR,Île-de-France,,75010,48.9155,2.4589,71900,340,211.47,Western Europe,ref-fr-idf-PAR
198,Oceania,Australia,AU,New South Wales,NSW,2009,-33.9099,151.2695,84500,405,208.64,ANZ,ref-au-nsw-SYD
199,North America,United States,US,Texas,TX,73310,30.3785,-97.7922,104100,490,212.45,South,ref-us-tx-AUS
200,North America,United States,US,Florida,FL,33148,25.8701,-80.3015,139500,665,209.77,South,ref-us-fl-MIA
201,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.6005,-0.1811,99000,470,210.64,Western Europe,ref-uk-eng-LON
202,Europe,Norway,NO,Oslo,,0159,59.9911,10.8695,36500,170,214.71,Nordics,ref-no-osl
203,Asia,India,IN,Maharashtra,,400010,19.1801,72.9905,210100,990,212.22,South Asia,ref-in-mh-MUM
204,Africa,South Africa,ZA,Western Cape,,8010,-33.9815,18.5309,69300,330,210.00,Sub-Saharan Africa,ref-za-wc-CPT
205,North America,Mexico,MX,Mexico City,,06009,19.5301,-99.1811,169000,800,211.25,LATAM,ref-mx-mxc
206,North America,United States,US,Arizona,AZ,85009,33.5300,-112.1500,118000,550,214.55,West Coast,ref-us-az
207,North America,United States,US,Georgia,GA,30309,33.8300,-84.4700,148000,700,211.43,South,ref-us-ga
208,Europe,Italy,IT,Lazio,,00108,41.9800,12.5800,83000,395,210.13,Southern Europe,ref-it-laz
209,Asia,China,CN,Beijing,,100008,39.9800,116.4700,258000,1230,209.76,East Asia,ref-cn-bjn
210,South America,Argentina,AR,Buenos Aires,,1008,-34.6800,-58.4600,98000,465,210.75,South America,ref-ar-bue
211,North America,United States,US,California,CA,90219,34.0281,-118.2254,161345,765,210.91,West Coast,ref-us-ca-LA
212,North America,United States,US,New York,NY,10011,40.7901,-74.1238,239901,1145,209.52,North East,ref-us-ny-NYC
213,Europe,Germany,DE,Bavaria,,80341,48.2422,11.6877,100500,475,211.58,Western Europe,ref-de-by-MUN
214,Asia,Japan,JP,Tokyo,,100-0011,35.7905,139.7899,310200,1445,214.67,East Asia,ref-jp-tko
215,North America,Canada,CA,Ontario,ON,M5V 2F9,43.7301,-79.4555,130750,625,209.20,North America,ref-ca-on-TOR
216,South America,Brazil,BR,São Paulo,,01310-110,-23.5998,-46.7401,169400,805,210.43,South America,ref-br-sp-SAO
217,Europe,France,FR,Île-de-France,,75011,48.9255,2.4689,70900,335,211.64,Western Europe,ref-fr-idf-PAR
218,Oceania,Australia,AU,New South Wales,NSW,2010,-33.9199,151.2795,85500,410,208.54,ANZ,ref-au-nsw-SYD
219,North America,United States,US,Texas,TX,73311,30.3885,-97.8022,105100,495,212.32,South,ref-us-tx-AUS
220,North America,United States,US,Florida,FL,33149,25.8801,-80.3115,140500,670,209.70,South,ref-us-fl-MIA
221,Europe,United Kingdom,GB,England,ENG,SW1A 0AD,51.6105,-0.1911,100000,475,210.53,Western Europe,ref-uk-eng-LON
222,Europe,Norway,NO,Oslo,,0160,60.0011,10.8795,35500,165,215.15,Nordics,ref-no-osl
223,Asia,India,IN,Maharashtra,,400011,19.1901,73.0005,211100,995,212.16,South Asia,ref-in-mh-MUM
224,Africa,South Africa,ZA,Western Cape,,8011,-33.9915,18.5409,70300,335,209.85,Sub-Saharan Africa,ref-za-wc-CPT
225,North America,Mexico,MX,Mexico City,,06010,19.5401,-99.1911,170000,805,211.18,LATAM,ref-mx-mxc
226,North America,United States,US,Arizona,AZ,85010,33.5400,-112.1600,119000,555,214.41,West Coast,ref-us-az
227,North America,United States,US,Georgia,GA,30310,33.8400,-84.4800,149000,705,211.35,South,ref-us-ga
228,Europe,Italy,IT,Lazio,,00109,41.9900,12.5900,84000,400,210.00,Southern Europe,ref-it-laz
229,Asia,China,CN,Beijing,,100009,39.9900,116.4800,259000,1235,209.72,East Asia,ref-cn-bjn
230,South America,Argentina,AR,Buenos Aires,,1009,-34.6900,-58.4700,99000,470,210.64,South America,ref-ar-bue
231,North America,United States,US,California,CA,90220,34.0181,-118.2154,162345,770,210.84,West Coast,ref-us-ca-LA
232,North America,United States,US,New York,NY,10012,40.8001,-74.1338,238901,1140,209.56,North East,ref-us-ny-NYC
233,Europe,Germany,DE,Bavaria,,80342,48.2522,11.6977,99500,470,211.70,Western Europe,ref-de-by-MUN
234,Asia,Japan,JP,Tokyo,,100-0012,35.8005,139.7999,311200,1450,214.62,East Asia,ref-jp-tko
235,North America,Canada,CA,Ontario,ON,M5V 2G0,43.7401,-79.4655,131750,630,209.13,North America,ref-ca-on-TOR
236,South America,Brazil,BR,São Paulo,,01310-111,-23.6098,-46.7501,168400,800,210.50,South America,ref-br-sp-SAO
