name,longitude,latitude
John C. Munro Hamilton International Airport,-79.9349975586,43.1735992432
Hopedale Airport,-60.2285995483398,55.448299407959
Chevery Airport,-59.6366996765137,50.4688987731934
Montréal / Saint-Hubert Airport,-73.4169006348,45.5175018311
Hay River / Merlyn Carter Airport,-115.782997131,60.8396987915
Halifax / Stanfield International Airport,-63.5085983276,44.8807983398
Ivujivik Airport,-77.9253005981445,62.4173011779785
Pond Inlet Airport,-77.9666976929,72.6832962036
Island Lake Airport,-94.6536026000977,53.8572006225586
Stephenville Airport,-58.5499992370605,48.5442008972168
Kamloops Airport,-120.444000244,50.7022018433
Aklavik Airport,-135.005996704102,68.2232971191406
Waterloo Airport,-80.3786010742,43.4608001709
Kangiqsujuaq (Wakeham Bay) Airport,-71.929397583,61.5886001587
Schefferville Airport,-66.8052978515625,54.8053016662598
Akulivik Airport,-78.1485977172852,60.8185997009277
Waskaganish Airport,-78.75830078125,51.4733009338379
Aupaluk Airport,-69.5997009277344,59.2966995239258
Kimmirut Airport,-69.8833007812,62.8499984741
Lansdowne House Airport,-87.934196472168,52.1955986022949
Lutselk'e Airport,-110.681999206543,62.4183006286621
Lloydminster Airport,-110.072998046875,53.3092002868652
Kangiqsualujjuaq (Georges River) Airport,-65.9927978515625,58.7113990783691
Kelowna International Airport,-119.377998352,49.9561004639
Mary's Harbour Airport,-55.8471984863281,52.3027992248535
Fort McMurray Airport,-111.222000122,56.653301239
Moosonee Airport,-80.6078033447266,51.2910995483398
Chapais Airport,-74.5280990600586,49.771900177002
Umiujaq Airport,-76.5183029174805,56.5360984802246
Natashquan Airport,-61.7891998291016,50.189998626709
Wemindji Airport,-78.8311004638672,53.0106010437012
Norway House Airport,-97.8442001342773,53.9583015441895
Points North Landing Airport,-104.082000732422,58.2766990661621
Old Crow Airport,-139.839004516602,67.5706024169922
Oxford House Airport,-95.2789001464844,54.9333000183105
High Level Airport,-117.165000915527,58.6213989257812
Rainbow Lake Airport,-119.407997131348,58.4914016723633
Ottawa Macdonald-Cartier International Airport,-75.6691970825,45.3224983215
Prince Albert Glass Field,-105.672996521,53.2141990662
Paulatuk (Nora Aliqatchialuk Ruben) Airport,-124.075469971,69.3608381154
Peace River Airport,-117.446998596191,56.2268981933594
Inukjuak Airport,-78.0768966674805,58.4719009399414
Pickle Lake Airport,-90.2142028808594,51.4463996887207
Pikangikum Airport,-93.9732971191406,51.8196983337402
Peawanuck Airport,-85.4432983398438,54.9880981445312
Prince Rupert Airport,-130.445007324,54.2860984802
Powell River Airport,-124.5,49.8342018127441
Fort Chipewyan Airport,-111.116996765137,58.7672004699707
Quebec Jean Lesage International Airport,-71.3933029175,46.7910995483
The Pas Airport,-101.091003417969,53.9714012145996
Windsor Airport,-82.9555969238281,42.2756004333496
Kenora Airport,-94.3630981445312,49.7882995605469
Lethbridge County Airport,-112.800003052,49.6302986145
Greater Moncton International Airport,-64.678596496582,46.1122016906738
Nakina Airport,-86.696403503418,50.1828002929688
Comox Airport,-124.887001037598,49.7108001708984
Regina International Airport,-104.666000366211,50.4319000244141
Thunder Bay Airport,-89.3238983154297,48.371898651123
Grande Prairie Airport,-118.885002136,55.1796989441
Gander International Airport,-54.5680999755859,48.9369010925293
Sydney / J.A. Douglas McCurdy Airport,-60.0477981567,46.1613998413
Quesnel Airport,-122.51000213623,53.0261001586914
Rae Lakes Airport,-117.309997558594,64.116096496582
Resolute Bay Airport,-94.9693984985,74.7169036865
Roberval Airport,-72.2656021118164,48.5200004577637
Red Lake Airport,-93.793098449707,51.0668983459473
Rankin Inlet Airport,-92.1157989502,62.8114013672
Sudbury Airport,-80.7988967895508,46.625
Stony Rapids Airport,-105.841003417969,59.250301361084
Saint John Airport,-65.8902969360352,45.3161010742188
Sanikiluaq Airport,-79.2466964722,56.5377998352
Fort Smith Airport,-111.96199798584,60.0203018188477
St. Theresa Point Airport,-94.8518981933594,53.8456001281738
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,-125.242996216,71.9938964844
Cape Dorset Airport,-76.5267028809,64.2300033569
Alma Airport,-71.6418991089,48.5088996887
Thompson Airport,-97.8641967773438,55.8011016845703
Big Trout Lake Airport,-89.8968963623047,53.817798614502
Timmins/Victor M. Power,-81.376701355,48.5696983337
Billy Bishop Toronto City Centre Airport,-79.3962020874,43.6274986267
Tuktoyaktuk Airport,-133.026000976562,69.4332962036133
Montreal / Pierre Elliott Trudeau International Airport,-73.7407989502,45.4706001282
Repulse Bay Airport,-86.2247009277,66.5214004517
Hall Beach Airport,-81.2425,68.7761001587
Rouyn Noranda Airport,-78.8356018066406,48.2061004638672
La Ronge Airport,-105.262001038,55.1514015198
Qikiqtarjuaq Airport,-64.0314025879,67.5457992554
Val-d'Or Airport,-77.7827987671,48.0532989502
Kuujjuaq Airport,-68.4269027709961,58.0960998535156
Norman Wells Airport,-126.797996520996,65.2816009521484
Vancouver International Airport,-123.183998108,49.193901062
Deer Lake Airport,-94.0614013671875,52.6557998657227
Winnipeg / James Armstrong Richardson International Airport,-97.2398986816,49.9099998474
Déline Airport,-123.435997009277,65.2110977172852
Wabush Airport,-66.8644027709961,52.9219017028809
Williams Lake Airport,-122.054000854,52.1831016541
Webequie Airport,-87.3748683929,52.9593933975
Cranbrook Airport,-115.781997680664,49.6108016967773
Saskatoon John G. Diefenbaker International Airport,-106.699996948242,52.1707992553711
Medicine Hat Airport,-110.721000671387,50.0189018249512
Fort St John Airport,-120.73999786377,56.2380981445312
Sioux Lookout Airport,-91.9052963256836,50.113899230957
Whale Cove Airport,-92.5980987549,62.2400016785
Pangnirtung Airport,-65.7136001587,66.1449966431
Prince George Airport,-122.679000854,53.8894004822
Terrace Airport,-128.57600402832,54.4684982299805
London Airport,-81.1539001465,43.0355987549
Abbotsford Airport,-122.361000061035,49.0252990722656
Whitehorse / Erik Nielsen International Airport,-135.067001343,60.7095985413
North Bay Airport,-79.4227981567383,46.3636016845703
Calgary International Airport,-114.019996643,51.113899231
Smithers Airport,-127.182998657227,54.8246994018555
Fort Nelson Airport,-122.597000122,58.8363990784
Penticton Airport,-119.601997375488,49.4631004333496
Charlottetown Airport,-63.1211013793945,46.2900009155273
Taloyoak Airport,-93.5766983032,69.5466995239
Victoria International Airport,-123.426002502,48.646900177
Lynn Lake Airport,-101.075996398926,56.863899230957
Churchill Airport,-94.0650024414062,58.739200592041
Goose Bay Airport,-60.4258003235,53.3191986084
St. John's International Airport,-52.7518997192,47.618598938
Kapuskasing Airport,-82.4674987792969,49.4138984680176
Mont Joli Airport,-68.2080993652344,48.6086006164551
Lester B. Pearson International Airport,-79.6305999756,43.6772003174
Yellowknife Airport,-114.440002441406,62.4627990722656
Salluit Airport,-75.6671981811523,62.1794013977051
Sandspit Airport,-131.813995361,53.2542991638
Chris Hadfield Airport,-82.3088989257812,42.9994010925293
Coral Harbour Airport,-83.3593978882,64.1932983398
Port Hardy Airport,-127.366996765137,50.6805992126465
Sept-Îles Airport,-66.2656021118164,50.2233009338379
York Landing Airport,-96.0892028808594,56.0894012451172
Ilford Airport,-95.613899231,56.0614013672
Bathurst Airport,-65.738899231,47.629699707
Eastmain River Airport,-78.5224990844727,52.2263984680176
Fond-Du-Lac Airport,-107.181999206543,59.334400177002
Fort Mcpherson Airport,-134.860992431641,67.4075012207031
Tulita Airport,-125.572998046875,64.9096984863281
Gods River Airport,-94.0785980224609,54.8396987915039
Swan River Airport,-101.236000061035,52.1206016540527
Kashechewan Airport,-81.6778030395508,52.2825012207031
Muskrat Dam Airport,-91.7628021240234,53.4413986206055
Masset Airport,-132.125,54.0275001525879
Sachigo Lake Airport,-92.196403503418,53.8911018371582
Round Lake (Weagamow Lake) Airport,-91.3127975463867,52.9435997009277
Sandy Lake Airport,-93.3443984985352,53.0642013549805
Shamattawa Airport,-92.0813980102539,55.8656005859375
Wollaston Lake Airport,-103.171997070312,58.1068992614746
Soummam Airport,5.06992006302,36.7120018005
Houari Boumediene Airport,3.21540999412537,36.6910018920898
Djanet Inedbirene Airport,9.45244026184,24.2928009033
Illizi Takhamalt Airport,8.62265014648,26.7234992981
Ain Arnat Airport,5.32449007034,36.1781005859
Aguenar – Hadj Bey Akhamok Airport,5.45107984543,22.8115005493
Jijel Ferhat Abbas Airport,5.87361001968,36.7951011658
Annaba Airport,7.80916976928711,36.8222007751465
Mohamed Boudiaf International Airport,6.62038993835449,36.2760009765625
Cheikh Larbi Tébessi Airport,8.12071990967,35.4315986633
Batna Airport,6.3085899353,35.7521018982
Hassi R'Mel Airport,3.31153988838196,32.9304008483887
Tindouf Airport,-8.1670999527,27.7003993988
Zenata – Messali El Hadj Airport,-1.45000004768,35.0167007446
Es Senia Airport,-0.621182978153,35.6239013672
Béchar Boudghene Ben Ali Lotfi Airport,-2.26986002922058,31.6457004547119
Touat Cheikh Sidi Mohamed Belkebir Airport,-0.186414003372192,27.8376007080078
Biskra Airport,5.73823022842,34.7933006287
El Golea Airport,2.85959005355835,30.5713005065918
Noumérat - Moufdi Zakaria Airport,3.79411005973816,32.3841018676758
Oued Irara Airport,6.14043998718,31.6730003357
In Salah Airport,2.51202011108,27.2509994507
Touggourt Sidi Madhi Airport,6.0886697769165,33.067798614502
Guemar Airport,6.77679014206,33.5113983154
Timimoun Airport,0.276033014059,29.2371006012
Ain el Beida Airport,5.41277980804443,31.917200088501
In Aménas Airport,9.64291000366,28.0515003204
Cadjehoun Airport,2.38435006141663,6.3572301864624
Ouagadougou Airport,-1.51242005825043,12.3531999588013
Bobo Dioulasso Airport,-4.33096981048584,11.1600999832153
Kotoka International Airport,-0.166786000132561,5.60518980026245
Tamale Airport,-0.863214015960693,9.55718994140625
Kumasi Airport,-1.59081995487213,6.71456003189087
Sunyani Airport,-2.32875990867615,7.36183023452759
Takoradi Airport,-1.77476000785828,4.8960599899292
Port Bouet Airport,-3.9262900352478,5.261390209198
Bouaké Airport,-5.07366991043091,7.73880004882812
Nnamdi Azikiwe International Airport,7.26316976547241,9.00679016113281
Akwa Ibom International Airport,8.093,4.8725
Akure Airport,5.30101013183594,7.24673986434937
Benin Airport,5.59950017929077,6.31697988510132
Margaret Ekpo International Airport,8.34720039367676,4.97601985931396
Akanu Ibiam International Airport,7.56196022033691,6.47426986694336
Ibadan Airport,3.97832989692688,7.36246013641357
Ilorin International Airport,4.49391984939575,8.44021034240723
Sam Mbakwe International Airport,7.20602989196777,5.4270601272583
Yakubu Gowon Airport,8.86905002593994,9.63982963562012
Kaduna Airport,7.32010984420776,10.6960000991821
Mallam Aminu International Airport,8.52462005615234,12.0475997924805
Maiduguri International Airport,13.0809001922607,11.855299949646
Murtala Muhammed International Airport,3.32116007804871,6.57737016677856
Port Harcourt International Airport,6.94959020614624,5.01549005508423
Sadiq Abubakar III International Airport,5.20719003677368,12.9162998199463
Yola Airport,12.4303998947144,9.25755023956299
Diori Hamani International Airport,2.18360996246338,13.481499671936
Mano Dayak International Airport,8.00010967254639,16.9659996032715
Zinder Airport,8.98375988006592,13.7790002822876
Tabarka 7 Novembre Airport,8.87693977355957,36.9799995422363
Monastir Habib Bourguiba International Airport,10.7546997070312,35.7580986022949
Tunis Carthage International Airport,10.2271995544434,36.851001739502
Gafsa Ksar International Airport,8.82250022888184,34.4220008850098
Gabès Matmata International Airport,10.1033000946045,33.8768997192383
Djerba Zarzis International Airport,10.7755002975464,33.875
Sfax Thyna International Airport,10.6909999847412,34.7179985046387
Tozeur Nefta International Airport,8.11056041717529,33.9397010803223
Lomé-Tokoin Airport,1.25451004505157,6.16560983657837
Antwerp International Airport (Deurne),4.46027994156,51.1893997192
Brussels Airport,4.48443984985,50.9014015198
Brussels South Charleroi Airport,4.45382022857666,50.4592018127441
Liège Airport,5.4432201385498,50.6374015808105
Ostend-Bruges International Airport,2.8622200489,51.1988983154
Altenburg-Nobitz Airport,12.5063886642456,50.9819450378418
Heringsdorf Airport,14.152299881,53.8787002563
Berlin-Schönefeld International Airport,13.522500038147,52.3800010681152
Dresden Airport,13.7672004699707,51.1328010559082
Erfurt Airport,10.9581003189087,50.9798011779785
Frankfurt am Main International Airport,8.54312992096,50.0264015198
Münster Osnabrück Airport,7.68483018875,52.134601593
Hamburg Airport,9.98822975158691,53.6304016113281
Cologne Bonn Airport,7.1427397728,50.8658981323
Düsseldorf International Airport,6.76677989959717,51.2895011901855
Munich International Airport,11.7861003875732,48.3538017272949
Nuremberg Airport,11.0669002533,49.4986991882
Leipzig Halle Airport,12.2416000366211,51.4323997497559
Saarbrücken Airport,7.10950994492,49.2145996094
Stuttgart Airport,9.22196006774902,48.6898994445801
Berlin-Tegel International Airport,13.2876996994019,52.559700012207
Hannover Airport,9.68507957458,52.461101532
Bremen Airport,8.78666973114,53.0475006104
Frankfurt-Hahn Airport,7.26388978958,49.9486999512
Mannheim-City Airport,8.51416683197021,49.4730567932129
Kiel-Holtenau Airport,10.1452779769897,54.3794441223145
Lübeck Blankensee Airport,10.7192001343,53.8054008484
Memmingen Allgau Airport,10.2395000458,47.9888000488
Paderborn Lippstadt Airport,8.61631965637,51.6141014099
Niederrhein Airport,6.14216995239258,51.6024017333984
Dortmund Airport,7.61223983765,51.5182991028
Friedrichshafen Airport,9.51148986816,47.6712989807
Hof-Plauen Airport,11.8563890457153,50.2886123657227
Karlsruhe Baden-Baden Airport,8.08049964905,48.7793998718
Braunschweig Wolfsburg Airport,10.5560998916626,52.3191986083984
Westerland Sylt Airport,8.34047031403,54.9132003784
Kärdla Airport,22.8306999206543,58.9907989501953
Kuressaare Airport,22.50950050354,58.2299003601074
Pärnu Airport,24.4727993011475,58.4189987182617
Tallinn Airport,24.8327999115,59.4132995605
Tartu Airport,26.6903991699,58.3074989319
Enontekio Airport,23.4242992401123,68.3626022338867
Helsinki Vantaa Airport,24.9633007049561,60.3171997070312
Ivalo Airport,27.4053001403809,68.6072998046875
Joensuu Airport,29.6075000762939,62.662899017334
Jyvaskyla Airport,25.6783008575439,62.3995018005371
Kemi-Tornio Airport,24.5820999145508,65.7787017822266
Kajaani Airport,27.6923999786377,64.2854995727539
Kruunupyy Airport,23.1431007385254,63.7211990356445
Kuusamo Airport,29.2394008636475,65.9876022338867
Kittila Airport,24.8467998504639,67.7009963989258
Kuopio Airport,27.7978000640869,63.0070991516113
Lappeenranta Airport,28.1443996429443,61.0446014404297
Mariehamn Airport,19.8981990814209,60.122200012207
Oulu Airport,25.3546009063721,64.9300994873047
Pori Airport,21.7999992370605,61.4617004394531
Rovaniemi Airport,25.8304004669189,66.5647964477539
Savonlinna Airport,28.9451007843018,61.9430999755859
Seinäjoki Airport,22.8323001861572,62.6921005249023
Tampere-Pirkkala Airport,23.6044006347656,61.4141006469727
Turku Airport,22.2628002166748,60.5140991210938
Vaasa Airport,21.7621994018555,63.0507011413574
Varkaus Airport,27.8686008453369,62.1711006164551
Belfast International Airport,-6.21582984924,54.6575012207
George Best Belfast City Airport,-5.87249994277954,54.6180992126465
City of Derry Airport,-7.16110992431641,55.0428009033203
Birmingham International Airport,-1.74802994728,52.4538993835
Nottingham Airport,-1.0791699886322,52.9199981689453
Manchester Airport,-2.27495002746582,53.3536987304688
Robin Hood Doncaster Sheffield Airport,-1.01065635681,53.4805378105
Campbeltown Airport,-5.6863899230957,55.437198638916
Eday Airport,-2.77221989631653,59.190601348877
Fair Isle Airport,-1.62805998325348,59.5358009338379
Cardiff International Airport,-3.34332990646362,51.3967018127441
Bristol International Airport,-2.7190899848938,51.3827018737793
Liverpool John Lennon Airport,-2.8497200012207,53.3335990905762
London Luton Airport,-0.368333011865616,51.874698638916
Land's End Airport,-5.67055988311768,50.1027984619141
Plymouth City Airport,-4.10583019256592,50.4227981567383
St. Mary's Airport,-6.29166984558105,49.9132995605469
Bournemouth Airport,-1.84249997138977,50.7799987792969
Southampton Airport,-1.35679996013641,50.9502983093262
Newquay Cornwall Airport,-4.99540996551514,50.440601348877
Alderney Airport,-2.21472001075745,49.7061004638672
Guernsey Airport,-2.60196995735168,49.435001373291
Jersey Airport,-2.1955099105835,49.2079010009766
London Gatwick Airport,-0.190277993679047,51.1481018066406
London City Airport,0.0552779994904995,51.505298614502
London Heathrow Airport,-0.461941003799,51.4706001282
Southend Airport,0.695555984973907,51.5713996887207
Lydd Airport,0.939167022705078,50.9561004638672
Blackpool International Airport,-3.02860999107361,53.7717018127441
Humberside Airport,-0.350832998752594,53.5744018554688
Leeds Bradford Airport,-1.66057002544403,53.8658981323242
Hawarden Airport,-2.97778010368347,53.1781005859375
Isle of Man Airport,-4.6238899230957,54.0833015441895
Newcastle Airport,-1.69166994094849,55.0374984741211
Durham Tees Valley Airport,-1.42940998077393,54.5092010498047
East Midlands Airport,-1.32806003094,52.8311004639
Anglesey Airport,-4.53533983231,53.2481002808
Kirkwall Airport,-2.90499997138977,58.9578018188477
Sumburgh Airport,-1.29556000232697,59.8788986206055
Wick Airport,-3.09306001663208,58.4589004516602
Aberdeen Dyce Airport,-2.19777989387512,57.2019004821777
Inverness Airport,-4.0475001335144,57.5424995422363
Glasgow International Airport,-4.43306016922,55.8718986511
Edinburgh Airport,-3.37249994277954,55.9500007629395
Islay Airport,-6.25666999816895,55.6819000244141
Glasgow Prestwick Airport,-4.586669921875,55.5093994140625
Benbecula Airport,-7.36278009414673,57.4810981750488
Dundee Airport,-3.02583003044128,56.4524993896484
Stornoway Airport,-6.33111000061035,58.2155990600586
Barra Airport,-7.44305992126465,57.0228004455566
Tiree Airport,-6.86917018890381,56.4991989135742
Norwich International Airport,1.28278005123,52.6758003235
London Stansted Airport,0.234999999404,51.8849983215
Exeter International Airport,-3.41388988494873,50.7344017028809
RAF Brize Norton,-1.58361995220184,51.75
Mount Pleasant Airport,-58.4472007751465,-51.8227996826172
Amsterdam Airport Schiphol,4.76388978958,52.3086013794
Maastricht Aachen Airport,5.77014017105,50.9117012024
Eindhoven Airport,5.37452983856,51.4500999451
Eelde Airport,6.57944011688,53.1197013855
Rotterdam Airport,4.43722009659,51.9569015503
Cork Airport,-8.49110984802246,51.8413009643555
Galway Airport,-8.94159030914307,53.3002014160156
Donegal Airport,-8.34099960327148,55.0442008972168
Dublin Airport,-6.27007007598877,53.4212989807129
Ireland West Knock Airport,-8.81849002838135,53.9103012084961
Kerry Airport,-9.52377986907959,52.1809005737305
Shannon Airport,-8.92481994628906,52.7019996643066
Sligo Airport,-8.59920978546143,54.280200958252
Waterford Airport,-7.08695983886719,52.187198638916
Aarhus Airport,10.6190004349,56.2999992371
Billund Airport,9.15178012848,55.7402992249
Copenhagen Kastrup Airport,12.6560001373291,55.6179008483887
Esbjerg Airport,8.55340003967285,55.5259017944336
Karup Airport,9.12462997436523,56.2975006103516
Odense Airport,10.3309001922607,55.4766998291016
Bornholm Airport,14.7595996856689,55.0633010864258
Sønderborg Airport,9.79172992706299,54.9644012451172
Sindal Airport,10.2293996811,57.5035018921
Vagar Airport,-7.27721977233887,62.0635986328125
Aalborg Airport,9.84924316406,57.0927589138
Luxembourg-Findel International Airport,6.21152019500732,49.6265983581543
Ålesund Airport,6.11969995498657,62.5625
Andøya Airport,16.1441993713379,69.2925033569336
Alta Airport,23.3717002868652,69.9760971069336
Brønnøysund Airport,12.2174997329712,65.4610977172852
Bodø Airport,14.3653001785278,67.2692031860352
"Bergen Airport, Flesland",5.21814012527466,60.293399810791
Båtsfjord Airport,29.6914005279541,70.6005020141602
Berlevåg Airport,29.034200668335,70.8713989257812
Kristiansand Airport,8.08537006378174,58.2042007446289
Bardufoss Airport,18.5403995513916,69.0558013916016
"Harstad/Narvik Airport, Evenes",16.6781005859375,68.4913024902344
Leirin Airport,9.28806018829346,61.0155982971191
Florø Airport,5.02472019195557,61.5835990905762
Oslo Gardermoen Airport,11.1003999710083,60.1939010620117
Haugesund Airport,5.20836019515991,59.3452987670898
Hammerfest Airport,23.6686000823975,70.6797027587891
Valan Airport,25.9836006164551,71.0096969604492
"Kristiansund Airport, Kvernberget",7.82452011108398,63.1118011474609
"Kirkenes Airport, Høybuktmoen",29.891300201416,69.7257995605469
Leknes Airport,13.6093997955322,68.1524963378906
Mehamn Airport,27.8267002105713,71.0297012329102
Molde Airport,7.26249980926514,62.744701385498
"Mosjøen Airport, Kjærstad",13.2149000167847,65.7839965820312
Banak Airport,24.9734992980957,70.0688018798828
Narvik Framnes Airport,17.3866996765137,68.436897277832
Ørland Airport,9.60400009155273,63.6988983154297
"Ørsta-Volda Airport, Hovden",6.07410001754761,62.1800003051758
"Mo i Rana Airport, Røssvoll",14.3014001846313,66.363899230957
"Rørvik Airport, Ryum",11.1461000442505,64.8383026123047
Røros Airport,11.3423004150391,62.5783996582031
"Moss Airport, Rygge",10.7855997086,59.3788986206
"Svalbard Airport, Longyear",15.4656000137329,78.2461013793945
Svolvær Helle Airport,14.6691999435425,68.2433013916016
Stokmarknes Skagen Airport,15.0334167480469,68.5788269042969
Stord Airport,5.34084987640381,59.7919006347656
Sørkjosen Airport,20.959400177002,69.7867965698242
"Vardø Airport, Svartnes",31.044900894165,70.3554000854492
"Sandnessjøen Airport, Stokka",12.4688997268677,65.9568023681641
Tromsø Airport,18.9188995361328,69.6832962036133
"Sandefjord Airport, Torp",10.258600235,59.1866989136
"Trondheim Airport, Værnes",10.923999786377,63.4578018188477
Vadsø Airport,29.8446998596191,70.065299987793
"Stavanger Airport, Sola",5.63778018951416,58.8767013549805
Bydgoszcz Ignacy Jan Paderewski Airport,17.9776992798,53.0968017578
Gdańsk Lech Wałęsa Airport,18.4661998748779,54.3776016235352
John Paul II International Airport Kraków-Balice Airport,19.7847995758057,50.0777015686035
Katowice International Airport,19.0799999237,50.4743003845
Łódź Władysław Reymont Airport,19.3980998993,51.7219009399
Modlin Airport,20.6518001556,52.4510993958
Poznań-Ławica Airport,16.8262996674,52.4210014343
Rzeszów-Jasionka Airport,22.0189990997,50.1100006104
"Szczecin-Goleniów ""Solidarność"" Airport",14.9021997452,53.5847015381
Warsaw Chopin Airport,20.9671001434,52.1656990051
