date,account_id,account_region,daily_account_balance
2025-02-07,1006,Asia Pacific,70744
2025-02-07,1007,Latin America,189550
2025-02-07,1008,Latin America,26712
2025-02-08,1001,North America,152734
2025-02-08,1002,North America,87103
2025-02-08,1003,Europe,221059
2025-02-08,1004,Europe,44483
2025-02-08,1005,Asia Pacific,311657
2025-02-08,1006,Asia Pacific,70018
2025-02-08,1007,Latin America,192345
2025-02-08,1008,Latin America,25401
2025-02-09,1001,North America,149845
2025-02-09,1002,North America,83988
2025-02-09,1003,Europe,218465
2025-02-09,1004,Europe,45060
2025-02-09,1005,Asia Pacific,308503
2025-02-09,1006,Asia Pacific,68434
2025-02-09,1007,Latin America,188418
2025-02-10,1001,North America,154052
2025-02-10,1002,North America,85941
2025-02-10,1003,Europe,223142
2025-02-10,1004,Europe,46552
2025-02-10,1005,Asia Pacific,310434
2025-02-10,1006,Asia Pacific,69986
2025-02-10,1007,Latin America,193889
2025-02-10,1008,Latin America,27832
2025-02-11,1001,North America,151028
2025-02-11,1002,North America,86151
2025-02-11,1003,Europe,218918
2025-02-11,1004,Europe,45212
2025-02-11,1005,Asia Pacific,310316
2025-02-11,1006,Asia Pacific,68668
2025-02-11,1007,Latin America,191983
2025-02-11,1008,Latin America,29744
2025-02-12,1001,North America,149286
2025-02-12,1002,North America,85311
2025-02-12,1003,Europe,221615
2025-02-12,1004,Europe,41929
2025-02-12,1005,Asia Pacific,310475
2025-02-12,1006,Asia Pacific,70844
2025-02-12,1007,Latin America,191471
2025-02-12,1008,Latin America,27232
2025-02-13,1001,North America,153525
2025-02-13,1002,North America,86573
2025-02-13,1003,Europe,219521
2025-02-13,1005,Asia Pacific,309641
2025-02-13,1006,Asia Pacific,69210
2025-02-13,1007,Latin America,191449
2025-02-13,1008,Latin America,25698
2025-02-14,1001,North America,149656
2025-02-14,1002,North America,88767
2025-02-14,1003,Europe,223206
2025-02-14,1005,Asia Pacific,308545
2025-02-14,1006,Asia Pacific,68615
2025-02-14,1007,Latin America,190252
2025-02-14,1008,Latin America,26349
2025-02-15,1001,North America,153887
2025-02-15,1002,North America,84829
2025-02-15,1003,Europe,223933
2025-02-15,1004,Europe,42940
2025-02-15,1005,Asia Pacific,312180
2025-02-15,1006,Asia Pacific,66382
2025-02-15,1007,Latin America,189318
2025-02-15,1008,Latin America,25302
2025-02-16,1001,North America,154019
2025-02-16,1002,North America,88523
2025-02-16,1003,Europe,222805
2025-02-16,1004,Europe,41738
2025-02-16,1005,Asia Pacific,308653
2025-02-16,1006,Asia Pacific,69171
2025-02-16,1007,Latin America,192003
2025-02-16,1008,Latin America,26320
2025-02-17,1001,North America,151085
2025-02-17,1003,Europe,221930
2025-02-17,1004,Europe,42450
2025-02-17,1005,Asia Pacific,308887
2025-02-17,1006,Asia Pacific,66259
2025-02-17,1007,Latin America,188758
2025-02-17,1008,Latin America,25360
2025-02-18,1001,North America,152974
2025-02-18,1002,North America,84629
2025-02-18,1003,Europe,221150
2025-02-18,1005,Asia Pacific,310641
2025-02-18,1006,Asia Pacific,69404
2025-02-18,1007,Latin America,193582
2025-02-18,1008,Latin America,25511
2025-02-19,1001,North America,153665
2025-02-19,1002,North America,85531
2025-02-19,1003,Europe,218962
2025-02-19,1004,Europe,43427
2025-02-19,1005,Asia Pacific,311534
2025-02-19,1006,Asia Pacific,66167
2025-02-19,1007,Latin America,191785
2025-02-19,1008,Latin America,30466
2025-02-20,1001,North America,153723
2025-02-20,1002,North America,88714
2025-02-20,1003,Europe,220844
2025-02-20,1004,Europe,46355
2025-02-20,1005,Asia Pacific,313702
2025-02-20,1006,Asia Pacific,68930
2025-02-20,1007,Latin America,190486
2025-02-20,1008,Latin America,29323
2025-02-21,1001,North America,152573
2025-02-21,1002,North America,86861
2025-02-21,1003,Europe,221304
2025-02-21,1004,Europe,44932
2025-02-21,1005,Asia Pacific,308939
2025-02-21,1006,Asia Pacific,66484
2025-02-21,1007,Latin America,189597
2025-02-21,1008,Latin America,28510
2025-02-22,1001,North America,151660
2025-02-22,1002,North America,86321
2025-02-22,1003,Europe,221700
2025-02-22,1004,Europe,47044
2025-02-22,1005,Asia Pacific,314132
2025-02-22,1006,Asia Pacific,68225
2025-02-22,1007,Latin America,193172
2025-02-22,1008,Latin America,27358
2025-02-23,1001,North America,152482
2025-02-23,1002,North America,86999
2025-02-23,1003,Europe,218731
2025-02-23,1004,Europe,43384
2025-02-23,1005,Asia Pacific,310133
2025-02-23,1006,Asia Pacific,66172
2025-02-23,1007,Latin America,190609
2025-02-23,1008,Latin America,26810
2025-02-24,1001,North America,151320
2025-02-24,1003,Europe,219302
2025-02-24,1004,Europe,44171
2025-02-24,1005,Asia Pacific,312298
2025-02-24,1006,Asia Pacific,68547
2025-02-24,1007,Latin America,191401
2025-02-24,1008,Latin America,29476
2025-02-25,1001,North America,153690
2025-02-25,1002,North America,84386
2025-02-25,1003,Europe,220448
2025-02-25,1004,Europe,43442
2025-02-25,1005,Asia Pacific,312475
2025-02-25,1006,Asia Pacific,68227
2025-02-25,1007,Latin America,193700
2025-02-25,1008,Latin America,24892
2025-02-26,1001,North America,150387
2025-02-26,1003,Europe,221589
2025-02-26,1004,Europe,43138
2025-02-26,1005,Asia Pacific,312954
2025-02-26,1006,Asia Pacific,65529
2025-02-26,1007,Latin America,193749
2025-02-26,1008,Latin America,27691
2025-02-27,1001,North America,149518
2025-02-27,1002,North America,88447
2025-02-27,1003,Europe,223900
2025-02-27,1004,Europe,43307
2025-02-27,1005,Asia Pacific,312502
2025-02-27,1006,Asia Pacific,66164
2025-02-27,1007,Latin America,191809
2025-02-27,1008,Latin America,30052
2025-02-28,1003,Europe,218676
2025-02-28,1004,Europe,46293
2025-02-28,1005,Asia Pacific,308939
2025-02-28,1006,Asia Pacific,68267
2025-02-28,1007,Latin America,189974
2025-02-28,1008,Latin America,28855
2025-03-01,1001,North America,149908
2025-03-01,1002,North America,89416
2025-03-01,1003,Europe,225377
2025-03-01,1005,Asia Pacific,310401
2025-03-01,1006,Asia Pacific,70380
2025-03-01,1007,Latin America,194929
2025-03-01,1008,Latin America,27298
2025-03-02,1001,North America,151817
2025-03-02,1002,North America,84984
2025-03-02,1003,Europe,223733
2025-03-02,1005,Asia Pacific,311967
2025-03-02,1006,Asia Pacific,67570
2025-03-02,1007,Latin America,193021
2025-03-02,1008,Latin America,25045
2025-03-03,1001,North America,153833
2025-03-03,1002,North America,87214
2025-03-03,1003,Europe,223362
2025-03-03,1004,Europe,44570
2025-03-03,1005,Asia Pacific,314186
2025-03-03,1006,Asia Pacific,71230
2025-03-03,1007,Latin America,194600
2025-03-03,1008,Latin America,29625
2025-03-04,1001,North America,153107
2025-03-04,1002,North America,86995
2025-03-04,1003,Europe,224354
2025-03-04,1004,Europe,45992
2025-03-04,1005,Asia Pacific,311332
2025-03-04,1006,Asia Pacific,68899
2025-03-04,1007,Latin America,194651
2025-03-04,1008,Latin America,25273
2025-03-05,1002,North America,90219
2025-03-05,1003,Europe,225190
2025-03-05,1004,Europe,44173
2025-03-05,1005,Asia Pacific,311185
2025-03-05,1006,Asia Pacific,68166
2025-03-05,1007,Latin America,194807
2025-03-05,1008,Latin America,25168
2025-03-06,1001,North America,154933
2025-03-06,1002,North America,89680
2025-03-06,1003,Europe,224387
2025-03-06,1004,Europe,44749
2025-03-06,1005,Asia Pacific,310834
2025-03-06,1006,Asia Pacific,90404
2025-03-06,1007,Latin America,192599
2025-03-06,1008,Latin America,26190
2025-03-07,1001,North America,151237
2025-03-07,1002,North America,88044
2025-03-07,1003,Europe,221527
2025-03-07,1004,Europe,46177
2025-03-07,1006,Asia Pacific,66953
2025-03-07,1007,Latin America,193037
2025-03-07,1008,Latin America,29942
2025-03-08,1001,North America,153997
2025-03-08,1002,North America,87375
2025-03-08,1003,Europe,224505
2025-03-08,1004,Europe,43209
2025-03-08,1005,Asia Pacific,311649
2025-03-08,1006,Asia Pacific,69820
2025-03-08,1007,Latin America,189438
2025-03-08,1008,Latin America,27032
2025-03-09,1001,North America,153585
2025-03-09,1002,North America,88667
2025-03-09,1003,Europe,220462
2025-03-09,1004,Europe,42042
2025-03-09,1005,Asia Pacific,311483
2025-03-09,1006,Asia Pacific,68937
2025-03-09,1007,Latin America,192491
2025-03-10,1001,North America,155102
2025-03-10,1002,North America,87791
2025-03-10,1004,Europe,45658
2025-03-10,1006,Asia Pacific,69167
2025-03-10,1007,Latin America,191445
2025-03-11,1001,North America,154843
2025-03-11,1003,Europe,223466
2025-03-11,1004,Europe,42118
2025-03-11,1006,Asia Pacific,70293
2025-03-11,1007,Latin America,191354
2025-03-11,1008,Latin America,26040
2025-03-12,1001,North America,152525
2025-03-12,1002,North America,84589
2025-03-12,1003,Europe,224576
2025-03-12,1004,Europe,44813
2025-03-12,1006,Asia Pacific,71361
2025-03-12,1007,Latin America,189531
2025-03-12,1008,Latin America,27426
2025-03-13,1001,North America,155012
2025-03-13,1002,North America,86322
2025-03-13,1003,Europe,220873
2025-03-13,1004,Europe,42402
2025-03-13,1006,Asia Pacific,67534
2025-03-13,1007,Latin America,189519
2025-03-13,1008,Latin America,25499
2025-03-14,1001,North America,153923
2025-03-14,1002,North America,90140
2025-03-14,1003,Europe,221306
2025-03-14,1004,Europe,42801
2025-03-14,1006,Asia Pacific,70175
2025-03-14,1007,Latin America,190974
2025-03-14,1008,Latin America,26899
2025-03-15,1001,North America,151458
2025-03-15,1002,North America,86125
2025-03-15,1003,Europe,195985
2025-03-15,1004,Europe,45944
2025-03-15,1006,Asia Pacific,71865
2025-03-15,1007,Latin America,189917
2025-03-15,1008,Latin America,28114
2025-03-16,1001,North America,153029
2025-03-16,1002,North America,85243
2025-03-16,1003,Europe,223208
2025-03-16,1004,Europe,46226
2025-03-16,1006,Asia Pacific,72362
2025-03-16,1007,Latin America,190191
2025-03-16,1008,Latin America,27504
2025-03-17,1001,North America,154591
2025-03-17,1002,North America,88276
2025-03-17,1003,Europe,220366
2025-03-17,1006,Asia Pacific,71518
2025-03-17,1007,Latin America,194840
2025-03-17,1008,Latin America,29885
2025-03-18,1001,North America,154705
2025-03-18,1002,North America,84615
2025-03-18,1003,Europe,221098
2025-03-18,1004,Europe,42392
2025-03-18,1006,Asia Pacific,69755
2025-03-18,1007,Latin America,190768
2025-03-18,1008,Latin America,25874
2025-03-19,1001,North America,154220
2025-03-19,1002,North America,88692
2025-03-19,1004,Europe,45528
2025-03-19,1006,Asia Pacific,69639
2025-03-19,1007,Latin America,193598
2025-03-19,1008,Latin America,24712
2025-03-20,1001,North America,154342
2025-03-20,1003,Europe,222796
2025-03-20,1004,Europe,41708
2025-03-20,1006,Asia Pacific,66775
2025-03-20,1008,Latin America,27330
2025-03-21,1001,North America,155338
2025-03-21,1003,Europe,222134
2025-03-21,1004,Europe,45274
2025-03-21,1006,Asia Pacific,70029
2025-03-22,1001,North America,151809
2025-03-22,1002,North America,85081
2025-03-22,1003,Europe,224622
2025-03-22,1004,Europe,42773
2025-03-22,1006,Asia Pacific,71691
2025-03-22,1007,Latin America,192079
2025-03-22,1008,Latin America,24738
2025-03-23,1001,North America,154992
2025-03-23,1002,North America,89463
2025-03-23,1003,Europe,224647
2025-03-23,1004,Europe,44790
2025-03-23,1006,Asia Pacific,67756
2025-03-23,1007,Latin America,194534
2025-03-23,1008,Latin America,24628
2025-03-24,1001,North America,150823
2025-03-24,1002,North America,89764
2025-03-24,1003,Europe,221707
2025-03-24,1004,Europe,46980
2025-03-24,1006,Asia Pacific,71085
2025-03-24,1007,Latin America,191096
2025-03-24,1008,Latin America,24767
2025-03-25,1001,North America,150377
2025-03-25,1002,North America,87593
2025-03-25,1003,Europe,219955
2025-03-25,1004,Europe,43020
2025-03-25,1005,Asia Pacific,309858
2025-03-25,1006,Asia Pacific,72195
2025-03-25,1007,Latin America,192636
2025-03-25,1008,Latin America,24470
2025-03-26,1001,North America,152910
2025-03-26,1002,North America,86426
2025-03-26,1003,Europe,223550
2025-03-26,1004,Europe,44557
2025-03-26,1005,Asia Pacific,312469
2025-03-26,1006,Asia Pacific,71685
2025-03-26,1007,Latin America,190389
2025-03-26,1008,Latin America,26341
2025-03-27,1001,North America,151564
2025-03-27,1002,North America,88030
2025-03-27,1003,Europe,219450
2025-03-27,1004,Europe,45847
2025-03-27,1005,Asia Pacific,310325
2025-03-27,1006,Asia Pacific,70982
2025-03-27,1007,Latin America,190267
2025-03-27,1008,Latin America,28037
2025-03-28,1001,North America,154184
2025-03-28,1002,North America,85475
2025-03-28,1003,Europe,222130
2025-03-28,1004,Europe,45699
2025-03-28,1005,Asia Pacific,312871
2025-03-28,1006,Asia Pacific,71468
2025-03-28,1007,Latin America,210822
2025-03-28,1008,Latin America,24087
2025-03-29,1001,North America,149446
2025-03-29,1002,North America,85797
2025-03-29,1003,Europe,225334
2025-03-29,1004,Europe,44422
2025-03-29,1005,Asia Pacific,311418
2025-03-29,1006,Asia Pacific,66833
2025-03-29,1007,Latin America,189498
2025-03-29,1008,Latin America,27473
2025-03-30,1001,North America,155213
2025-03-30,1002,North America,89835
2025-03-30,1003,Europe,219638
2025-03-30,1004,Europe,41328
2025-03-30,1005,Asia Pacific,310587
2025-03-30,1006,Asia Pacific,70674
2025-03-30,1007,Latin America,193158
2025-03-30,1008,Latin America,29986
2025-03-31,1001,North America,149727
2025-03-31,1003,Europe,220989
2025-03-31,1004,Europe,45130
2025-03-31,1005,Asia Pacific,315262
2025-03-31,1006,Asia Pacific,70298
2025-03-31,1007,Latin America,194790
2025-04-01,1001,North America,153242
2025-04-01,1002,North America,89427
2025-04-01,1003,Europe,223368
2025-04-01,1004,Europe,44850
2025-04-01,1005,Asia Pacific,313124
2025-04-01,1006,Asia Pacific,67752
2025-04-01,1008,Latin America,29044
2025-04-02,1001,North America,155723
2025-04-02,1002,North America,90028
2025-04-02,1003,Europe,224524
2025-04-02,1004,Europe,46206
2025-04-02,1005,Asia Pacific,315562
2025-04-02,1006,Asia Pacific,71956
2025-04-02,1007,Latin America,195924
2025-04-02,1008,Latin America,29217
2025-04-03,1001,North America,156022
2025-04-03,1003,Europe,220891
2025-04-03,1004,Europe,44206
2025-04-03,1005,Asia Pacific,316024
2025-04-03,1006,Asia Pacific,67755
2025-04-03,1007,Latin America,190959
2025-04-03,1008,Latin America,23613
2025-04-04,1001,North America,155291
2025-04-04,1002,North America,90093
2025-04-04,1003,Europe,224544
2025-04-04,1004,Europe,41180
2025-04-04,1005,Asia Pacific,311047
2025-04-04,1006,Asia Pacific,69285
2025-04-04,1007,Latin America,192390
2025-04-04,1008,Latin America,23559
2025-04-05,1001,North America,151197
2025-04-05,1002,North America,91314
2025-04-05,1003,Europe,224373
2025-04-05,1004,Europe,40601
2025-04-05,1005,Asia Pacific,316101
2025-04-05,1006,Asia Pacific,73380
2025-04-05,1007,Latin America,195505
2025-04-05,1008,Latin America,29255
2025-04-06,1002,North America,90440
2025-04-06,1003,Europe,224998
2025-04-06,1005,Asia Pacific,315127
2025-04-06,1006,Asia Pacific,72347
2025-04-06,1007,Latin America,191434
2025-04-06,1008,Latin America,26326
2025-04-07,1001,North America,153203
2025-04-07,1002,North America,90769
2025-04-07,1003,Europe,224388
2025-04-07,1004,Europe,43831
2025-04-07,1005,Asia Pacific,315834
2025-04-07,1006,Asia Pacific,71970
2025-04-07,1008,Latin America,28916
2025-04-08,1001,North America,152106
2025-04-08,1002,North America,90220
2025-04-08,1003,Europe,223991
2025-04-08,1004,Europe,41587
2025-04-08,1005,Asia Pacific,313572
2025-04-08,1006,Asia Pacific,70891
2025-04-08,1007,Latin America,195262
2025-04-08,1008,Latin America,27826
2025-04-09,1001,North America,154738
2025-04-09,1002,North America,90841
2025-04-09,1003,Europe,221058
2025-04-09,1004,Europe,42458
2025-04-09,1005,Asia Pacific,316213
2025-04-09,1006,Asia Pacific,71626
2025-04-09,1007,Latin America,191376
2025-04-09,1008,Latin America,23846
2025-04-10,1001,North America,155048
2025-04-10,1002,North America,88136
2025-04-10,1003,Europe,223052
2025-04-10,1004,Europe,61243
2025-04-10,1005,Asia Pacific,312536
2025-04-10,1006,Asia Pacific,67790
2025-04-10,1007,Latin America,195768
2025-04-11,1001,North America,151353
2025-04-11,1002,North America,89545
2025-04-11,1003,Europe,226155
2025-04-11,1004,Europe,41825
2025-04-11,1005,Asia Pacific,343782
2025-04-11,1006,Asia Pacific,69078
2025-04-11,1007,Latin America,196153
2025-04-11,1008,Latin America,24880
2025-04-12,1001,North America,152347
2025-04-12,1002,North America,86333
2025-04-12,1003,Europe,244989
2025-04-12,1004,Europe,45172
2025-04-12,1005,Asia Pacific,312693
2025-04-12,1006,Asia Pacific,71924
2025-04-12,1007,Latin America,196282
2025-04-13,1001,North America,153312
2025-04-13,1002,North America,88596
2025-04-13,1003,Europe,223496
2025-04-13,1004,Europe,40699
2025-04-13,1006,Asia Pacific,69706
2025-04-13,1007,Latin America,192036
2025-04-13,1008,Latin America,27788
2025-04-14,1001,North America,152389
2025-04-14,1002,North America,86875
2025-04-14,1003,Europe,221823
2025-04-14,1004,Europe,44299
2025-04-14,1005,Asia Pacific,312528
2025-04-14,1006,Asia Pacific,68413
2025-04-14,1007,Latin America,196233
2025-04-14,1008,Latin America,24932
2025-04-15,1001,North America,155664
2025-04-15,1002,North America,85600
2025-04-15,1003,Europe,220855
2025-04-15,1004,Europe,46260
2025-04-15,1005,Asia Pacific,311912
2025-04-15,1006,Asia Pacific,69937
2025-04-15,1007,Latin America,196058
2025-04-16,1001,North America,155198
2025-04-16,1002,North America,86716
2025-04-16,1004,Europe,43534
2025-04-16,1005,Asia Pacific,315772
2025-04-16,1006,Asia Pacific,69693
2025-04-16,1007,Latin America,223345
2025-04-17,1001,North America,175919
2025-04-17,1002,North America,89443
2025-04-17,1003,Europe,223673
2025-04-17,1004,Europe,46266
2025-04-17,1005,Asia Pacific,315879
2025-04-17,1006,Asia Pacific,68863
2025-04-17,1007,Latin America,193732
2025-04-17,1008,Latin America,24592
2025-04-18,1001,North America,154250
2025-04-18,1002,North America,91234
2025-04-18,1003,Europe,221959
2025-04-18,1004,Europe,45638
2025-04-18,1005,Asia Pacific,310877
2025-04-18,1006,Asia Pacific,70936
2025-04-18,1007,Latin America,192504
2025-04-18,1008,Latin America,23917
2025-04-19,1001,North America,155861
2025-04-19,1002,North America,89508
2025-04-19,1003,Europe,223791
2025-04-19,1004,Europe,46158
2025-04-19,1005,Asia Pacific,311256
2025-04-19,1006,Asia Pacific,68082
